label,timestamp,eid,type,subject,object,machine,subject_name,object_name,techniques,anomaly_label
,1.52E+18,899938CD-6674-2415-CDFD-630100000010,EVENT_WRITE,85049578-0100-0000-0000-000000000020,0F000000-BE1D-0700-0000-000000000000,0A00063C-5254-00F0-0D60-000000000070,dash,/run/motd.new,Corrupt_File,0
,1.52E+18,84A09787-7ED0-2415-D82C-C20200000010,EVENT_WRITE,931D1E04-0300-0000-0000-000000000020,0F000000-A346-1000-0000-000000000000,0A00063C-5254-00F0-0D60-000000000070,run-parts,/run/motd.new,Corrupt_File,0
,1.52E+18,2B3410C6-7976-2415-DDD1-740100000010,EVENT_WRITE,70177E81-0100-0000-0000-000000000020,0F000000-CA79-0700-0000-000000000000,0A00063C-5254-00F0-0D60-000000000070,dash,/run/motd.new,Corrupt_File,0
,1.52E+18,716823A0-66D0-2415-09D6-C00200000010,EVENT_WRITE,0717B803-0300-0000-0000-000000000020,0F000000-453C-1000-0000-000000000000,0A00063C-5254-00F0-0D60-000000000070,run-parts,/run/motd.new,Corrupt_File,0
,1.52E+18,BCBA3BBD-43CA-2415-9437-9B0200000010,EVENT_WRITE,70715DE9-0200-0000-0000-000000000020,0F000000-4835-0F00-0000-000000000000,0A00063C-5254-00F0-0D60-000000000070,dash,/run/motd.new,Corrupt_File,0
,1.52E+18,533A14E3-2773-2415-A2CA-560100000010,EVENT_WRITE,AD793C73-0100-0000-0000-000000000020,0F000000-FECF-0600-0000-000000000000,0A00063C-5254-00F0-0D60-000000000070,run-parts,/run/motd.new,Corrupt_File,0
,1.52E+18,3A2EA1C2-7976-2415-36C6-740100000010,EVENT_WRITE,21177E81-0100-0000-0000-000000000020,0F000000-CA79-0700-0000-000000000000,0A00063C-5254-00F0-0D60-000000000070,run-parts,/run/motd.new,Corrupt_File,0
,1.52E+18,DCA53B12-D520-2415-6100-000000000010,EVENT_WRITE,41071100-0000-0000-0000-000000000020,0100D00F-EE11-1E00-0000-00005A7E921B,0A00063C-5254-00F0-0D60-000000000070,postgres,/var/lib/postgresql/9.1/main/pg_stat_tmp/pgstat.tmp,Corrupt_File,0
,1.52E+18,84346311-D520-2415-0700-000000000010,EVENT_WRITE,41071100-0000-0000-0000-000000000020,0100D00F-0312-1E00-0000-0000295A9E1A,0A00063C-5254-00F0-0D60-000000000070,postgres,/var/lib/postgresql/9.1/main/pg_stat_tmp/pgstat.tmp,Corrupt_File,0
,1.52E+18,96918EF0-6C75-2415-4508-6F0100000010,EVENT_WRITE,D90CFB7C-0100-0000-0000-000000000020,0F000000-565C-0700-0000-000000000000,0A00063C-5254-00F0-0D60-000000000070,dash,/run/motd.new,Corrupt_File,0
,1.52E+18,EE0A193D-B5E1-2315-058E-0C0000000010,EVENT_WRITE,4C751968-0400-0000-0000-000000000020,0F000000-A27D-0600-0000-000000000000,0A00063C-5254-00F0-0D60-000000000070,run-parts,/run/motd.new,Corrupt_File,0
