label,timestamp,type,subject,eid,object,subject_name,object_name,anomaly_label,rule,machine,techniques
,1.52E+18,EVENT_WRITE,3CDE7697-36C5-11E8-BF66-D9AA8AFF4A69,3E97A33E-A352-5895-ABEC-2FD634E0F8E1,0245C10A-DC39-5352-B9DC-21665253BC2F,imapd,/tmp/.31.29d08,0,http://w3id.org/sepses/resource/rule/corrupt-file-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,Corrupt_File
,1.52E+18,EVENT_MODIFY_FILE_ATTRIBUTES,F3BF3D74-36D1-11E8-BF66-D9AA8AFF4A69,C0798E4D-257D-596A-9292-E1FFCA2DC046,0E5D9CB3-C96E-EE58-AEC9-23F3B8EEBEDB,newsyslog,/var/log/maillog.1.bz2,0,http://w3id.org/sepses/resource/rule/change-permission-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,T1222
,1.52E+18,EVENT_MODIFY_FILE_ATTRIBUTES,F3BF3D74-36D1-11E8-BF66-D9AA8AFF4A69,AD00A807-E715-5BF2-AD34-93C62D48700A,599CD194-3DAA-0956-AA3D-3F1AD609DD7E,newsyslog,/var/log/maillog.0,0,http://w3id.org/sepses/resource/rule/change-permission-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,T1222
,1.52E+18,EVENT_MODIFY_FILE_ATTRIBUTES,F9C597A2-36D1-11E8-BF66-D9AA8AFF4A69,BB63BE41-9907-5918-A2EA-FD36F401137C,A0246E1B-712A-465A-AA71-CEDFBA46FCA2,bzip2,/var/log/maillog.0.bz2,0,http://w3id.org/sepses/resource/rule/change-permission-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,T1222
,1.52E+18,EVENT_MODIFY_FILE_ATTRIBUTES,F3BF3D74-36D1-11E8-BF66-D9AA8AFF4A69,D4FF0B59-93AE-532C-B73F-1320C2282FBC,A0246E1B-712A-465A-AA71-CEDFBA46FCA2,newsyslog,/var/log/maillog.0.bz2,0,http://w3id.org/sepses/resource/rule/change-permission-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,T1222
,1.52E+18,EVENT_WRITE,426F0BEF-36EB-11E8-BF66-D9AA8AFF4A69,18CD1927-9BA2-54A4-956F-9C1EE8EB1626,2C1E9465-9A9D-745C-9D9A-666BCC7491D7,netstat,/tmp/periodic.a6m3W1fAyO,0,http://w3id.org/sepses/resource/rule/corrupt-file-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,Corrupt_File
,1.52E+18,EVENT_WRITE,5D0ABDC3-36F3-11E8-BF66-D9AA8AFF4A69,D4CD7BB2-E76C-5AFE-BA66-361D027370B5,EEBA5A13-ECA7-A45D-A7EC-5E877DA45E84,pkg,/tmp/periodic.YmcbBEdVzh,0,http://w3id.org/sepses/resource/rule/corrupt-file-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,Corrupt_File
,1.52E+18,EVENT_WRITE,E9AA817E-36F3-11E8-BF66-D9AA8AFF4A69,8894D97E-9BBD-56A9-A962-14009147D1CC,E9A6BBB2-36F3-11E8-BF66-D9AA8AFF4A69,netstat,/tmp/periodic.GlW9DzIYuc,0,http://w3id.org/sepses/resource/rule/corrupt-file-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,Corrupt_File
,1.52E+18,EVENT_MODIFY_FILE_ATTRIBUTES,D6BFC6AA-373B-11E8-BF66-D9AA8AFF4A69,B1A424E3-DCF2-53E6-846C-9439CB55D43D,4E8BF991-881E-C659-9E88-6762B9C6B5C5,imapd,/tmp/.31.29ada,0,http://w3id.org/sepses/resource/rule/change-permission-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,T1222
,1.52E+18,EVENT_WRITE,2D73D2AC-373C-11E8-BF66-D9AA8AFF4A69,1616659C-CEBC-5306-94A6-9D8296F88371,9828B9BD-E6ED-FE5B-ADE6-0CE18BFE4591,smtp,active/4C87529B4B,0,http://w3id.org/sepses/resource/rule/corrupt-file-rule,83C8ED1F-5045-DBCD-B39F-918F0DF4F851,Corrupt_File
